Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
1320.0000,8.2407374554e-01,9.8690171340e-01,-1.5334572477e-01,-1.8083844180e-04,4.4817021785e-04,-2.7066627985e-04
1330.0000,8.2227347155e-01,9.9135816290e-01,-1.5607043471e-01,-1.7920407040e-04,4.4312145898e-04,-2.7428237458e-04
1340.0000,8.2048992406e-01,9.9576417427e-01,-1.5883151779e-01,-1.7749262572e-04,4.3808256400e-04,-2.7794132638e-04
1350.0000,8.1872387972e-01,1.0001198506e+00,-1.6162940651e-01,-1.7570351755e-04,4.3305466190e-04,-2.8164339836e-04
1360.0000,8.1697611668e-01,1.0044253077e+00,-1.6446453216e-01,-1.7383616558e-04,4.2803889809e-04,-2.8538884380e-04
1370.0000,8.1524741965e-01,1.0086806728e+00,-1.6733732922e-01,-1.7188999997e-04,4.2303643389e-04,-2.8917790577e-04
1380.0000,8.1353857962e-01,1.0128860849e+00,-1.7024823505e-01,-1.6986446157e-04,4.1804844646e-04,-2.9301081693e-04
1390.0000,8.1185039344e-01,1.0170416945e+00,-1.7319768959e-01,-1.6775900213e-04,4.1307612854e-04,-2.9688779940e-04
1400.0000,8.1018366363e-01,1.0211476643e+00,-1.7618613513e-01,-1.6557308449e-04,4.0812068836e-04,-3.0080906464e-04
1410.0000,8.0853919803e-01,1.0252041692e+00,-1.7921401604e-01,-1.6330618283e-04,4.0318334939e-04,-3.0477481326e-04
1420.0000,8.0691780963e-01,1.0292113963e+00,-1.8228177857e-01,-1.6095778285e-04,3.9826535017e-04,-3.0878523492e-04
1430.0000,8.0532031628e-01,1.0331695450e+00,-1.8538987069e-01,-1.5852738202e-04,3.9336794416e-04,-3.1284050814e-04
1440.0000,8.0374754060e-01,1.0370788278e+00,-1.8853874185e-01,-1.5601448975e-04,3.8849239949e-04,-3.1694080015e-04
1450.0000,8.0220030975e-01,1.0409394695e+00,-1.9172884292e-01,-1.5341862763e-04,3.8363999875e-04,-3.2108626681e-04
1460.0000,8.0067945537e-01,1.0447517081e+00,-1.9496062602e-01,-1.5073932964e-04,3.7881203884e-04,-3.2527705239e-04
1470.0000,7.9918581343e-01,1.0485157947e+00,-1.9823454448e-01,-1.4797614238e-04,3.7400983070e-04,-3.2951328947e-04
1480.0000,7.9772022418e-01,1.0522319934e+00,-2.0155105269e-01,-1.4512862524e-04,3.6923469908e-04,-3.3379509878e-04
1490.0000,7.9628353214e-01,1.0559005819e+00,-2.0491060613e-01,-1.4219635065e-04,3.6448798236e-04,-3.3812258908e-04
1500.0000,7.9487658605e-01,1.0595218512e+00,-2.0831366134e-01,-1.3917890431e-04,3.5977103229e-04,-3.4249585698e-04
1510.0000,7.9350023888e-01,1.0630961058e+00,-2.1176067588e-01,-1.3607588535e-04,3.5508521373e-04,-3.4691498683e-04
1520.0000,7.9215534792e-01,1.0666236640e+00,-2.1525210840e-01,-1.3288690658e-04,3.5043190443e-04,-3.5138005057e-04
1530.0000,7.9084277480e-01,1.0701048580e+00,-2.1878841867e-01,-1.2961159473e-04,3.4581249476e-04,-3.5589110760e-04
1540.0000,7.8956338562e-01,1.0735400336e+00,-2.2237006770e-01,-1.2624959059e-04,3.4122838750e-04,-3.6044820461e-04
1550.0000,7.8831805110e-01,1.0769295507e+00,-2.2599751776e-01,-1.2280054932e-04,3.3668099750e-04,-3.6505137550e-04
1560.0000,7.8710764665e-01,1.0802737832e+00,-2.2967123259e-01,-1.1926414058e-04,3.3217175146e-04,-3.6970064117e-04
1570.0000,7.8593305265e-01,1.0835731191e+00,-2.3339167750e-01,-1.1564004879e-04,3.2770208767e-04,-3.7439600945e-04
1580.0000,7.8479515304e-01,1.0868279607e+00,-2.3715931824e-01,-1.1192797326e-04,3.2327345577e-04,-3.7913747499e-04
1590.0000,7.8369480967e-01,1.0900387274e+00,-2.4097459937e-01,-1.0812762673e-04,3.1888731817e-04,-3.8392502025e-04
1600.0000,7.8263290375e-01,1.0932058525e+00,-2.4483797901e-01,-1.0423873804e-04,3.1454514721e-04,-3.8875861369e-04
1610.0000,7.8161033214e-01,1.0963297820e+00,-2.4874992599e-01,-1.0026105232e-04,3.1024842505e-04,-3.9363820974e-04
1620.0000,7.8062798216e-01,1.0994109777e+00,-2.5271089852e-01,-9.6194329517e-05,3.0599864497e-04,-3.9856374967e-04
1630.0000,7.7968674442e-01,1.1024499165e+00,-2.5672135497e-01,-9.2038345410e-05,3.0179731030e-04,-4.0353516103e-04
1640.0000,7.7878751242e-01,1.1054470904e+00,-2.6078175350e-01,-8.7792891708e-05,2.9764593412e-04,-4.0855235757e-04
1650.0000,7.7793118217e-01,1.1084030065e+00,-2.6489255173e-01,-8.3457776236e-05,2.9354603905e-04,-4.1361523909e-04
1660.0000,7.7711865176e-01,1.1113181875e+00,-2.6905420643e-01,-7.9032823089e-05,2.8949915694e-04,-4.1872369144e-04
1670.0000,7.7635082108e-01,1.1141931713e+00,-2.7326717325e-01,-7.4517872793e-05,2.8550682864e-04,-4.2387758632e-04
1680.0000,7.7562859150e-01,1.1170285110e+00,-2.7753190646e-01,-6.9912782457e-05,2.8157060370e-04,-4.2907678129e-04
1690.0000,7.7495286555e-01,1.1198247757e+00,-2.8184885869e-01,-6.5217425937e-05,2.7769204010e-04,-4.3432111961e-04
1700.0000,7.7432454673e-01,1.1225825497e+00,-2.8621848075e-01,-6.0431693983e-05,2.7387270397e-04,-4.3961043021e-04
1710.0000,7.7374453925e-01,1.1253024332e+00,-2.9064122145e-01,-5.5555494400e-05,2.7011416928e-04,-4.4494452756e-04
1720.0000,7.7321374787e-01,1.1279850421e+00,-2.9511752741e-01,-5.0588752194e-05,2.6641801756e-04,-4.5032321162e-04
1730.0000,7.7273307771e-01,1.1306310079e+00,-2.9964784295e-01,-4.5531409731e-05,2.6278583760e-04,-4.5574626774e-04
1740.0000,7.7230343415e-01,1.1332409784e+00,-3.0423260997e-01,-4.0383426881e-05,2.5921922512e-04,-4.6121346660e-04
1750.0000,7.7192572273e-01,1.1358156170e+00,-3.0887226789e-01,-3.5144781170e-05,2.5571978250e-04,-4.6672456411e-04
1760.0000,7.7160084906e-01,1.1383556036e+00,-3.1356725355e-01,-2.9815467931e-05,2.5228911841e-04,-4.7227930137e-04
1770.0000,7.7132971882e-01,1.1408616337e+00,-3.1831800122e-01,-2.4395500448e-05,2.4892884755e-04,-4.7787740455e-04
1780.0000,7.7111323773e-01,1.1433344195e+00,-3.2312494257e-01,-1.8884910102e-05,2.4564059025e-04,-4.8351858486e-04
1790.0000,7.7095231158e-01,1.1457746892e+00,-3.2798850669e-01,-1.3283746522e-05,2.4242597221e-04,-4.8920253844e-04
1800.0000,7.7084784628e-01,1.1481831875e+00,-3.3290912013e-01,-7.5920777192e-06,2.3928662411e-04,-4.9492894634e-04
1810.0000,7.7080074795e-01,1.1505606755e+00,-3.3788720698e-01,-1.8099902401e-06,2.3622418129e-04,-5.0069747441e-04
1820.0000,7.7081192306e-01,1.1529079306e+00,-3.4292318897e-01,4.0624106964e-06,2.3324028341e-04,-5.0650777324e-04
1830.0000,7.7088227852e-01,1.1552257470e+00,-3.4801748556e-01,1.0025001058e-05,2.3033657406e-04,-5.1235947812e-04
1840.0000,7.7101272191e-01,1.1575149354e+00,-3.5317051411e-01,1.6077637856e-05,2.2751470047e-04,-5.1825220895e-04
1850.0000,7.7120415344e-01,1.1597763222e+00,-3.5838268340e-01,2.2220159433e-05,2.2477631368e-04,-5.2418557046e-04
1860.0000,7.7145744525e-01,1.1620107476e+00,-3.6365437677e-01,2.8452386479e-05,2.2212306980e-04,-5.3015915288e-04
1870.0000,7.7177350391e-01,1.1642190733e+00,-3.6898600269e-01,3.4774118718e-05,2.1955662510e-04,-5.3617252987e-04
1880.0000,7.7215322736e-01,1.1664021757e+00,-3.7437796019e-01,4.1185136824e-05,2.1707863876e-04,-5.4222525976e-04
1890.0000,7.7259750582e-01,1.1685609472e+00,-3.7983063937e-01,4.7685202356e-05,2.1469077242e-04,-5.4831688554e-04
1900.0000,7.7310722790e-01,1.1706962972e+00,-3.8534442638e-01,5.4274057361e-05,2.1239468939e-04,-5.5444693464e-04
1910.0000,7.7368328013e-01,1.1728091519e+00,-3.9091970305e-01,6.0951424286e-05,2.1019205434e-04,-5.6061491892e-04
1920.0000,7.7432654661e-01,1.1749004542e+00,-3.9655684654e-01,6.7717005894e-05,2.0808453299e-04,-5.6682033463e-04
1930.0000,7.7503790855e-01,1.1769711638e+00,-4.0225622909e-01,7.4570485188e-05,2.0607379175e-04,-5.7306266240e-04
1940.0000,7.7581824394e-01,1.1790222571e+00,-4.0801821770e-01,8.1511525325e-05,2.0416149741e-04,-5.7934136724e-04
1950.0000,7.7666842723e-01,1.1810547270e+00,-4.1384317386e-01,8.8539769546e-05,2.0234931680e-04,-5.8565589851e-04
