Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
1180.0000,-1.4448151846e-01,1.1648551682e+01,8.6105824429e-01,-2.5785435110e-03,9.0499632847e-03,2.0287229552e-03
1190.0000,-1.7042190435e-01,1.1738873361e+01,8.8146700489e-01,-2.6095059044e-03,9.0142606312e-03,2.0529992866e-03
1200.0000,-1.9667106281e-01,1.1828834659e+01,9.0211761702e-01,-2.6402962893e-03,8.9778871226e-03,2.0770918178e-03
1210.0000,-2.2322722137e-01,1.1918428871e+01,9.2300819917e-01,-2.6709041776e-03,8.9408437025e-03,2.1009918440e-03
1220.0000,-2.5008850256e-01,1.2007649304e+01,9.4413678285e-01,-2.7013190600e-03,8.9031315437e-03,2.1246906745e-03
1230.0000,-2.7725292376e-01,1.2096489277e+01,9.6550131277e-01,-2.7315304090e-03,8.8647520483e-03,2.1481796347e-03
1240.0000,-3.0471839695e-01,1.2184942125e+01,9.8709964694e-01,-2.7615276813e-03,8.8257068484e-03,2.1714500685e-03
1250.0000,-3.3248272863e-01,1.2273001201e+01,1.0089295569e+00,-2.7913003208e-03,8.7859978057e-03,2.1944933405e-03
1260.0000,-3.6054361965e-01,1.2360659876e+01,1.0309887281e+00,-2.8208377607e-03,8.7456270118e-03,2.2173008381e-03
1270.0000,-3.8889866508e-01,1.2447911543e+01,1.0532747596e+00,-2.8501294266e-03,8.7045967883e-03,2.2398639739e-03
1280.0000,-4.1754535417e-01,1.2534749622e+01,1.0757851649e+00,-2.8791647390e-03,8.6629096866e-03,2.2621741877e-03
1290.0000,-4.4648107034e-01,1.2621167557e+01,1.0985173721e+00,-2.9079331161e-03,8.6205684880e-03,2.2842229489e-03
1300.0000,-4.7570309150e-01,1.2707158821e+01,1.1214687241e+00,-2.9364239759e-03,8.5775762037e-03,2.3060017585e-03
1310.0000,-5.0520858958e-01,1.2792716921e+01,1.1446364792e+00,-2.9646267399e-03,8.5339360745e-03,2.3275021513e-03
1320.0000,-5.3499463074e-01,1.2877835395e+01,1.1680178110e+00,-2.9925308345e-03,8.4896515704e-03,2.3487156984e-03
1330.0000,-5.6505817546e-01,1.2962507817e+01,1.1916098090e+00,-3.0201256949e-03,8.4447263907e-03,2.3696340091e-03
1340.0000,-5.9539607865e-01,1.3046727800e+01,1.2154094792e+00,-3.0474007668e-03,8.3991644635e-03,2.3902487329e-03
1350.0000,-6.2600508972e-01,1.3130488998e+01,1.2394137441e+00,-3.0743455096e-03,8.3529699456e-03,2.4105515622e-03
1360.0000,-6.5688185275e-01,1.3213785105e+01,1.2636194433e+00,-3.1009493991e-03,8.3061472215e-03,2.4305342340e-03
1370.0000,-6.8802290667e-01,1.3296609864e+01,1.2880233343e+00,-3.1272019297e-03,8.2587009039e-03,2.4501885323e-03
1380.0000,-7.1942468543e-01,1.3378957061e+01,1.3126220924e+00,-3.1530926175e-03,8.2106358324e-03,2.4695062902e-03
1390.0000,-7.5108351827e-01,1.3460820535e+01,1.3374123115e+00,-3.1786110031e-03,8.1619570732e-03,2.4884793918e-03
1400.0000,-7.8299562994e-01,1.3542194174e+01,1.3623905047e+00,-3.2037466536e-03,8.1126699187e-03,2.5070997749e-03
1410.0000,-8.1515714104e-01,1.3623071923e+01,1.3875531047e+00,-3.2284891660e-03,8.0627798869e-03,2.5253594325e-03
1420.0000,-8.4756406826e-01,1.3703447782e+01,1.4128964644e+00,-3.2528281693e-03,8.0122927202e-03,2.5432504154e-03
1430.0000,-8.8021232480e-01,1.3783315807e+01,1.4384168577e+00,-3.2767533276e-03,7.9612143856e-03,2.5607648339e-03
1440.0000,-9.1309772067e-01,1.3862670119e+01,1.4641104795e+00,-3.3002543425e-03,7.9095510729e-03,2.5778948601e-03
1450.0000,-9.4621596313e-01,1.3941504900e+01,1.4899734472e+00,-3.3233209558e-03,7.8573091948e-03,2.5946327302e-03
1460.0000,-9.7956265708e-01,1.4019814397e+01,1.5160018007e+00,-3.3459429520e-03,7.8044953852e-03,2.6109707462e-03
1470.0000,-1.0131333055e+00,1.4097592924e+01,1.5421915032e+00,-3.3681101613e-03,7.7511164992e-03,2.6269012781e-03
1480.0000,-1.0469233099e+00,1.4174834866e+01,1.5685384421e+00,-3.3898124621e-03,7.6971796114e-03,2.6424167660e-03
1490.0000,-1.0809279709e+00,1.4251534680e+01,1.5950384296e+00,-3.4110397832e-03,7.6426920151e-03,2.6575097222e-03
1500.0000,-1.1151424886e+00,1.4327686896e+01,1.6216872031e+00,-3.4317821073e-03,7.5876612216e-03,2.6721727332e-03
1510.0000,-1.1495619632e+00,1.4403286120e+01,1.6484804266e+00,-3.4520294726e-03,7.5320949585e-03,2.6863984614e-03
